running,avg_speed,avg_size,avg_energy,avg_age,avg_vision,trees,entities,avg_apples
True,5.0,6.0,75.90000000000143,4.016666666666654,75.0,50,50,1.0
True,5.0,6.0,75.80000000000143,4.033333333333329,75.0,50,50,1.0
True,5.0,6.0,75.7000000000013,4.04999999999999,75.0,50,50,1.0
True,5.0,6.0,75.60000000000132,4.06666666666666,75.0,50,50,1.0
True,5.0,6.0,75.50000000000138,4.0833333333333215,75.0,50,50,1.0
True,5.0,6.0,75.40000000000144,4.099999999999993,75.0,50,50,1.0
True,5.0,6.0,75.30000000000145,4.116666666666655,75.0,50,50,1.0
True,5.0,6.0,75.20000000000151,4.133333333333325,75.0,50,50,1.0
True,5.0,6.0,75.10000000000137,4.149999999999986,75.0,50,50,1.0
True,5.0,6.0,75.00000000000138,4.166666666666657,75.0,50,50,1.0
True,5.0,6.0,74.90000000000144,4.183333333333328,75.0,50,50,1.0
True,5.0,6.0,74.8000000000015,4.1999999999999895,75.0,50,50,1.0
True,5.0,6.0,74.70000000000152,4.216666666666661,75.0,50,50,1.0
True,5.0,6.0,75.2000000000014,4.233333333333321,75.0,50,50,0.98
True,5.0,6.0,75.10000000000139,4.249999999999993,75.0,50,50,0.98
True,5.0,6.0,75.60000000000146,4.266666666666654,75.0,50,50,0.96
True,5.0,6.0,75.50000000000152,4.283333333333325,75.0,50,50,0.96
True,5.0,6.0,75.40000000000151,4.299999999999986,75.0,50,50,0.96
True,5.0,6.0,75.30000000000139,4.31666666666666,75.0,50,50,0.96
True,5.0,6.0,75.8000000000014,4.333333333333321,75.0,50,50,0.94
True,5.0,6.0,76.30000000000146,4.3499999999999925,75.0,50,50,0.92
True,5.0,6.0,76.80000000000153,4.366666666666654,75.0,50,50,0.9
True,5.0,6.0,77.30000000000155,4.383333333333325,75.0,50,50,0.88
True,5.0,6.0,79.6000000000014,4.399999999999985,75.0,50,50,0.8
True,5.0,6.0,80.10000000000146,4.416666666666656,75.0,50,50,0.78
True,5.0,6.0,80.00000000000146,4.433333333333329,75.0,50,50,0.78
True,5.0,6.0,82.30000000000153,4.4499999999999895,75.0,50,50,0.7
True,5.0,6.0,83.4000000000016,4.466666666666661,75.0,50,50,0.66
True,5.0,6.0,83.30000000000162,4.483333333333321,75.0,50,50,0.66
True,5.0,6.0,85.60000000000149,4.499999999999993,75.0,50,50,0.58
True,5.0,6.0,85.50000000000149,4.516666666666653,75.0,50,50,0.58
True,5.0,6.0,85.40000000000153,4.533333333333325,75.0,50,50,0.58
True,5.0,6.0,85.3000000000016,4.549999999999986,75.0,50,50,0.58
True,5.0,6.0,85.8000000000016,4.56666666666666,75.0,50,50,0.56
True,5.0,6.0,86.30000000000149,4.583333333333321,75.0,50,50,0.54
True,5.0,6.0,86.2000000000015,4.5999999999999925,75.0,50,50,0.54
True,5.0,6.0,86.10000000000159,4.616666666666652,75.0,50,50,0.54
True,5.0,6.0,87.20000000000162,4.633333333333325,75.0,50,50,0.5
True,5.0,6.0,87.10000000000161,4.649999999999984,75.0,50,50,0.5
True,5.0,6.0,87.60000000000171,4.666666666666656,75.0,50,50,0.48
True,5.0,6.0,87.50000000000155,4.683333333333316,75.0,50,50,0.48
True,5.0,6.0,87.40000000000158,4.699999999999989,75.0,50,50,0.48
True,5.0,6.0,87.30000000000162,4.7166666666666615,75.0,50,50,0.48
True,5.0,6.0,87.80000000000167,4.733333333333321,75.0,50,50,0.46
True,5.0,6.0,87.70000000000171,4.749999999999993,75.0,50,50,0.46
True,5.0,6.0,87.60000000000156,4.766666666666652,75.0,50,50,0.46
True,5.0,6.0,87.5000000000016,4.783333333333325,75.0,50,50,0.46
True,5.0,6.0,88.00000000000163,4.799999999999985,75.0,50,50,0.44
True,5.0,6.0,87.90000000000167,4.8166666666666575,75.0,50,50,0.44
True,5.0,6.0,88.40000000000171,4.833333333333317,75.0,50,50,0.42
True,5.0,6.0,88.30000000000156,4.8499999999999925,75.0,50,50,0.42
True,5.0,6.0,88.2000000000016,4.866666666666651,75.0,50,50,0.42
True,5.0,6.0,88.10000000000166,4.883333333333324,75.0,50,50,0.42
True,5.0,6.0,88.00000000000169,4.899999999999984,75.0,50,50,0.42
True,5.0,6.0,87.90000000000173,4.916666666666656,75.0,50,50,0.42
True,5.0,6.0,87.80000000000156,4.933333333333316,75.0,50,50,0.42
True,5.0,6.0,88.30000000000166,4.949999999999988,75.0,50,50,0.4
True,5.0,6.0,88.20000000000165,4.966666666666648,75.0,50,50,0.4
True,5.0,6.0,88.10000000000169,4.983333333333321,75.0,50,50,0.4
True,5.0,6.0,88.00000000000178,4.999999999999993,75.0,50,50,0.4
True,5.0,6.0,87.90000000000178,5.016666666666652,75.0,50,50,0.4
True,5.0,6.0,87.80000000000167,5.033333333333324,75.0,50,50,0.4
True,5.0,6.0,87.70000000000168,5.049999999999985,75.0,50,50,0.4
True,5.0,6.0,88.20000000000175,5.0666666666666575,75.0,50,50,0.38
True,5.0,6.0,88.10000000000178,5.083333333333316,75.0,50,50,0.38
True,5.0,6.0,88.00000000000178,5.0999999999999925,75.0,50,50,0.38
True,5.0,6.0,87.90000000000167,5.116666666666651,75.0,50,50,0.38
True,5.0,6.0,87.80000000000167,5.133333333333323,75.0,50,50,0.38
True,5.0,6.0,87.70000000000176,5.149999999999983,75.0,50,50,0.38
True,5.0,6.0,88.20000000000181,5.166666666666656,75.0,50,50,0.36
True,5.0,6.0,88.1000000000018,5.183333333333316,75.0,50,50,0.36
True,5.0,6.0,88.00000000000189,5.199999999999988,75.0,50,50,0.36
True,5.0,6.0,87.90000000000173,5.216666666666647,75.0,50,50,0.36
True,5.0,6.0,87.80000000000176,5.233333333333321,75.0,50,50,0.36
True,5.0,6.0,87.70000000000181,5.249999999999993,75.0,50,50,0.36
True,5.0,6.0,87.60000000000186,5.266666666666652,75.0,50,50,0.36
True,5.0,6.0,87.50000000000189,5.283333333333324,75.0,50,50,0.36
True,5.0,6.0,87.40000000000174,5.299999999999984,75.0,50,50,0.36
True,5.0,6.0,87.30000000000179,5.3166666666666575,75.0,50,50,0.36
True,5.0,6.0,87.80000000000182,5.333333333333317,75.0,50,50,0.34
True,5.0,6.0,87.70000000000185,5.349999999999987,75.0,50,50,0.34
True,5.0,6.0,87.6000000000019,5.366666666666649,75.0,50,50,0.34
True,5.0,6.0,87.50000000000175,5.383333333333323,75.0,50,50,0.34
True,5.0,6.0,87.40000000000178,5.399999999999983,75.0,50,50,0.34
True,5.0,6.0,87.30000000000183,5.416666666666654,75.0,50,50,0.34
True,5.0,6.0,87.20000000000188,5.433333333333317,75.0,50,50,0.34
True,5.0,6.0,87.10000000000191,5.449999999999988,75.0,50,50,0.34
True,5.0,6.0,87.00000000000175,5.466666666666647,75.0,50,50,0.34
True,5.0,6.0,86.90000000000184,5.483333333333317,75.0,50,50,0.34
True,5.0,6.0,86.80000000000183,5.499999999999993,75.0,50,50,0.34
True,5.0,6.0,86.70000000000188,5.516666666666652,75.0,50,50,0.34
True,5.0,6.0,86.60000000000197,5.5333333333333234,75.0,50,50,0.34
True,5.0,6.0,86.50000000000196,5.549999999999986,75.0,50,50,0.34
True,5.0,6.0,86.40000000000185,5.5666666666666575,75.0,50,50,0.34
True,5.0,6.0,86.30000000000186,5.583333333333317,75.0,50,50,0.34
True,5.0,6.0,86.20000000000189,5.599999999999986,75.0,50,50,0.34
True,5.0,6.0,86.10000000000197,5.61666666666665,75.0,50,50,0.34
True,5.0,6.0,86.00000000000196,5.633333333333323,75.0,50,50,0.34
True,5.0,6.0,85.90000000000185,5.649999999999983,75.0,50,50,0.34
True,5.0,6.0,85.80000000000186,5.666666666666653,75.0,50,50,0.34
True,5.0,6.0,85.70000000000195,5.683333333333317,75.0,50,50,0.34
True,5.0,6.0,86.20000000000198,5.699999999999988,75.0,50,50,0.32
True,5.0,6.0,86.10000000000198,5.716666666666647,75.0,50,50,0.32
True,5.0,6.0,86.00000000000207,5.7333333333333165,75.0,50,50,0.32
True,5.0,6.0,85.90000000000191,5.7499999999999805,75.0,50,50,0.32
True,5.0,6.0,85.80000000000194,5.7666666666666515,75.0,50,50,0.32
True,5.0,6.0,85.70000000000198,5.783333333333323,75.0,50,50,0.32
True,5.0,6.0,85.60000000000204,5.7999999999999865,75.0,50,50,0.32
True,5.0,6.0,85.50000000000207,5.816666666666656,75.0,50,50,0.32
True,5.0,6.0,85.40000000000192,5.833333333333315,75.0,50,50,0.32
True,5.0,6.0,85.30000000000196,5.849999999999985,75.0,50,50,0.32
True,5.0,6.0,85.200000000002,5.866666666666651,75.0,50,50,0.32
True,5.0,6.0,85.10000000000205,5.883333333333321,75.0,50,50,0.32
True,5.0,6.0,85.00000000000207,5.89999999999998,75.0,50,50,0.32
True,5.0,6.0,84.90000000000192,5.916666666666652,75.0,50,50,0.32
True,5.0,6.0,84.80000000000194,5.933333333333317,75.0,50,50,0.32
True,5.0,6.0,84.70000000000202,5.949999999999988,75.0,50,50,0.32
